date,time,x-edge-location,sc-bytes,c-ip,cs-method,cs\(Host),cs-uri-stem,sc-status,cs\(Referer),cs\(User-Agent),cs-uri-query,cs\(Cookie),x-edge-result-type,x-edge-request-id,x-host-header,cs-protocol,cs-bytes,time-taken,x-forwarded-for,ssl-protocol,ssl-cipher,x-edge-response-result-type,cs-protocol-version,fle-status,fle-encrypted-fields,c-port,time-to-first-byte,x-edge-detailed-result-type,sc-content-type,sc-content-len,sc-range-start,sc-range-end
2025-12-26,20:43:35,MXP53-P2,329,179.43.191.98,GET,dbkbtek9v7jgv.cloudfront.net,/,404,-,Mozilla/5.0%20\(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/128.0.0.0%20Safari/537.36,-,-,Error,ZDMbnEUF5FzmzEqz45fvtDzKpshd__0FUo7xbFospKeErOXokytqRA\=\=,dbkbtek9v7jgv.amplifyapp.com,https,250,0.124,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,58338,0.124,Error,-,0,-,-
2025-12-26,20:44:14,DXB52-P2,1673,176.205.185.49,GET,dbkbtek9v7jgv.cloudfront.net,/favicon.png,200,https://main.dbkbtek9v7jgv.amplifyapp.com/,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/143.0.0.0%20Safari/537.36%20Edg/143.0.0.0,-,-,Miss,OLB-Ab-UZ5rVdY9qRxQXjOabr2bxTBKsOjgPjSPHAmXBpFGP7bY3wQ\=\=,main.dbkbtek9v7jgv.amplifyapp.com,https,463,0.244,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/3.0,-,-,57218,0.244,Miss,image/png,1145,-,-
2025-12-26,20:44:14,DXB52-P2,378,176.205.185.49,GET,dbkbtek9v7jgv.cloudfront.net,/api/branding,301,https://main.dbkbtek9v7jgv.amplifyapp.com/,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/143.0.0.0%20Safari/537.36%20Edg/143.0.0.0,-,-,Miss,fnR566ACsA0vollBSPIBzLPYvLRfKCX4K5sdePFGf8Iru7mvKinLoA\=\=,main.dbkbtek9v7jgv.amplifyapp.com,https,412,0.257,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/3.0,-,-,57218,0.257,Miss,-,0,-,-
2025-12-26,20:44:14,DXB52-P2,1356,176.205.185.49,GET,dbkbtek9v7jgv.cloudfront.net,/api/branding/,404,https://main.dbkbtek9v7jgv.amplifyapp.com/,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/143.0.0.0%20Safari/537.36%20Edg/143.0.0.0,-,-,Error,FONUEatDbQXV63-FJ-1_b9NVYfzJZSr219haFPPTg3IJ9Bk2sC11xg\=\=,main.dbkbtek9v7jgv.amplifyapp.com,https,413,0.242,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/3.0,-,-,57218,0.241,Error,text/html,-,-,-
2025-12-26,20:44:14,DXB52-P2,380,176.205.185.49,GET,dbkbtek9v7jgv.cloudfront.net,/api/gold-price,301,https://main.dbkbtek9v7jgv.amplifyapp.com/,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/143.0.0.0%20Safari/537.36%20Edg/143.0.0.0,-,-,Miss,TsFNjqxYygOSySrLvPF9jS3FrCj2Mp20xm87UIkrkgQho1bxDez9vw\=\=,main.dbkbtek9v7jgv.amplifyapp.com,https,415,0.259,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/3.0,-,-,57218,0.259,Miss,-,0,-,-
2025-12-26,20:44:14,DXB52-P2,1356,176.205.185.49,GET,dbkbtek9v7jgv.cloudfront.net,/api/platform-config/public/,404,https://main.dbkbtek9v7jgv.amplifyapp.com/,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/143.0.0.0%20Safari/537.36%20Edg/143.0.0.0,-,-,Error,3gsaOKZGDbPrmeyX8O4-xcAXSwYNLW0VfOkA0t00-eEpLRurvn65Sg\=\=,main.dbkbtek9v7jgv.amplifyapp.com,https,437,0.261,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/3.0,-,-,57218,0.260,Error,text/html,-,-,-
2025-12-26,20:44:14,DXB52-P2,374,176.205.185.49,GET,dbkbtek9v7jgv.cloudfront.net,/api/fees,301,https://main.dbkbtek9v7jgv.amplifyapp.com/,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/143.0.0.0%20Safari/537.36%20Edg/143.0.0.0,-,-,Miss,sYNS3lnt0qbsH-6QecBdNLGq3cvIWSK2ssK_zS-SbhUyPMtF7dKD9Q\=\=,main.dbkbtek9v7jgv.amplifyapp.com,https,405,0.263,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/3.0,-,-,57218,0.263,Miss,-,0,-,-
2025-12-26,20:44:14,DXB52-P2,1356,176.205.185.49,GET,dbkbtek9v7jgv.cloudfront.net,/api/fees/,404,https://main.dbkbtek9v7jgv.amplifyapp.com/,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/143.0.0.0%20Safari/537.36%20Edg/143.0.0.0,-,-,Error,8QiDnWgKv2ao48ZL-f3CprYtOqELIDvso28ApE5xQaaeOsS6b35xjg\=\=,main.dbkbtek9v7jgv.amplifyapp.com,https,406,0.252,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/3.0,-,-,57218,0.251,Error,text/html,-,-,-
2025-12-26,20:44:14,DXB52-P2,40157,176.205.185.49,GET,dbkbtek9v7jgv.cloudfront.net,/assets/finatrades-logo-Br7J-q2F.png,200,https://main.dbkbtek9v7jgv.amplifyapp.com/,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/143.0.0.0%20Safari/537.36%20Edg/143.0.0.0,-,-,Miss,XViVFESncykgUVZBsixieHI1WfQGuafYNPrKMCc9JYdCC7Jxs7GkCg\=\=,main.dbkbtek9v7jgv.amplifyapp.com,https,500,0.249,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/3.0,-,-,57218,0.248,Miss,image/png,39628,-,-
2025-12-26,20:44:14,DXB52-P2,1356,176.205.185.49,GET,dbkbtek9v7jgv.cloudfront.net,/api/gold-price/,404,https://main.dbkbtek9v7jgv.amplifyapp.com/,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/143.0.0.0%20Safari/537.36%20Edg/143.0.0.0,-,-,Error,ejqewPuLAaknbPepxBPHpU4pId2-5vqYw6h4WfUh2ScYAIK3tOtoHA\=\=,main.dbkbtek9v7jgv.amplifyapp.com,https,417,0.254,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/3.0,-,-,57218,0.253,Error,text/html,-,-,-
